frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.protocol,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.fin,tcp.flags.push
"1789632539.262092000","0.197119000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
"1789632539.465238000","0.203146000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
"1789632539.974495000","0.509257000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
"1789632540.477476000","0.502981000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
"1789632540.981445000","0.503969000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
"1789632541.483669000","0.502224000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
"1789632542.006702000","0.523033000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
"1789632542.497405000","0.490703000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
"1789632543.009636000","0.512231000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
"1789632543.502092000","0.492456000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
